text,split,group_id,satisfied,neutral,frustrated,angry,dissatisfied,overloaded,conflict,disengaged
현재 상황은 테스트 결과는 내일 오전에 전달하겠습니다. 확인 부탁드립니다.,train,neutral-02,0,1,0,0,0,0,0,0
오늘 업무를 하면서 테스트 결과는 내일 오전에 전달하겠습니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-02,0,1,0,0,0,0,0,0
현재 버전은 2.4.1이고 배포 대상은 개발 서버입니다.,train,neutral-03,0,1,0,0,0,0,0,0
현재 상황은 현재 버전은 2.4.1이고 배포 대상은 개발 서버입니다. 확인 부탁드립니다.,train,neutral-03,0,1,0,0,0,0,0,0
오늘 업무를 하면서 현재 버전은 2.4.1이고 배포 대상은 개발 서버입니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-03,0,1,0,0,0,0,0,0
회의록에 결정 사항 세 가지를 정리했습니다.,train,neutral-04,0,1,0,0,0,0,0,0
현재 상황은 회의록에 결정 사항 세 가지를 정리했습니다. 확인 부탁드립니다.,train,neutral-04,0,1,0,0,0,0,0,0
오늘 업무를 하면서 회의록에 결정 사항 세 가지를 정리했습니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-04,0,1,0,0,0,0,0,0
이번 주 작업 목록을 티켓으로 등록했습니다.,train,neutral-05,0,1,0,0,0,0,0,0
현재 상황은 이번 주 작업 목록을 티켓으로 등록했습니다. 확인 부탁드립니다.,train,neutral-05,0,1,0,0,0,0,0,0
오늘 업무를 하면서 이번 주 작업 목록을 티켓으로 등록했습니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-05,0,1,0,0,0,0,0,0
담당자 확인 후 일정 업데이트하겠습니다.,train,neutral-06,0,1,0,0,0,0,0,0
현재 상황은 담당자 확인 후 일정 업데이트하겠습니다. 확인 부탁드립니다.,train,neutral-06,0,1,0,0,0,0,0,0
오늘 업무를 하면서 담당자 확인 후 일정 업데이트하겠습니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-06,0,1,0,0,0,0,0,0
자료는 엑셀 파일과 PDF 두 개입니다.,val,neutral-07,0,1,0,0,0,0,0,0
현재 상황은 자료는 엑셀 파일과 PDF 두 개입니다. 확인 부탁드립니다.,val,neutral-07,0,1,0,0,0,0,0,0
오늘 업무를 하면서 자료는 엑셀 파일과 PDF 두 개입니다. 이 부분은 조정이 필요해 보입니다.,val,neutral-07,0,1,0,0,0,0,0,0
점검은 오전 열 시부터 시작할 예정입니다.,test,neutral-08,0,1,0,0,0,0,0,0
현재 상황은 점검은 오전 열 시부터 시작할 예정입니다. 확인 부탁드립니다.,test,neutral-08,0,1,0,0,0,0,0,0
오늘 업무를 하면서 점검은 오전 열 시부터 시작할 예정입니다. 이 부분은 조정이 필요해 보입니다.,test,neutral-08,0,1,0,0,0,0,0,0
이 이슈는 다음 스프린트로 이동했습니다.,test,neutral-09,0,1,0,0,0,0,0,0
현재 상황은 이 이슈는 다음 스프린트로 이동했습니다. 확인 부탁드립니다.,test,neutral-09,0,1,0,0,0,0,0,0
오늘 업무를 하면서 이 이슈는 다음 스프린트로 이동했습니다. 이 부분은 조정이 필요해 보입니다.,test,neutral-09,0,1,0,0,0,0,0,0
같은 오류가 계속 반복돼서 답답하네요.,train,frustrated-00,0,0,1,0,0,0,0,0
현재 상황은 같은 오류가 계속 반복돼서 답답하네요. 확인 부탁드립니다.,train,frustrated-00,0,0,1,0,0,0,0,0
오늘 업무를 하면서 같은 오류가 계속 반복돼서 답답하네요. 이 부분은 조정이 필요해 보입니다.,train,frustrated-00,0,0,1,0,0,0,0,0
요구사항이 또 바뀌어서 다시 작업해야 합니다.,train,frustrated-01,0,0,1,0,0,0,0,0
현재 상황은 요구사항이 또 바뀌어서 다시 작업해야 합니다. 확인 부탁드립니다.,train,frustrated-01,0,0,1,0,0,0,0,0
오늘 업무를 하면서 요구사항이 또 바뀌어서 다시 작업해야 합니다. 이 부분은 조정이 필요해 보입니다.,train,frustrated-01,0,0,1,0,0,0,0,0
승인이 계속 늦어져서 진행을 못 하고 있습니다.,train,frustrated-02,0,0,1,0,0,0,0,0
현재 상황은 승인이 계속 늦어져서 진행을 못 하고 있습니다. 확인 부탁드립니다.,train,frustrated-02,0,0,1,0,0,0,0,0
오늘 업무를 하면서 승인이 계속 늦어져서 진행을 못 하고 있습니다. 이 부분은 조정이 필요해 보입니다.,train,frustrated-02,0,0,1,0,0,0,0,0
어제 수정한 걸 오늘 다시 원래대로 바꾸라고 하네요.,train,frustrated-03,0,0,1,0,0,0,0,0
현재 상황은 어제 수정한 걸 오늘 다시 원래대로 바꾸라고 하네요. 확인 부탁드립니다.,train,frustrated-03,0,0,1,0,0,0,0,0
오늘 업무를 하면서 어제 수정한 걸 오늘 다시 원래대로 바꾸라고 하네요. 이 부분은 조정이 필요해 보입니다.,train,frustrated-03,0,0,1,0,0,0,0,0
계속 기다리기만 하니까 일이 진도가 안 나갑니다.,train,frustrated-04,0,0,1,0,0,0,0,0
현재 상황은 계속 기다리기만 하니까 일이 진도가 안 나갑니다. 확인 부탁드립니다.,train,frustrated-04,0,0,1,0,0,0,0,0
오늘 업무를 하면서 계속 기다리기만 하니까 일이 진도가 안 나갑니다. 이 부분은 조정이 필요해 보입니다.,train,frustrated-04,0,0,1,0,0,0,0,0
환경이 자꾸 깨져서 테스트를 몇 번째 다시 하는지 모르겠습니다.,train,frustrated-05,0,0,1,0,0,0,0,0
현재 상황은 환경이 자꾸 깨져서 테스트를 몇 번째 다시 하는지 모르겠습니다. 확인 부탁드립니다.,train,frustrated-05,0,0,1,0,0,0,0,0
오늘 업무를 하면서 환경이 자꾸 깨져서 테스트를 몇 번째 다시 하는지 모르겠습니다. 이 부분은 조정이 필요해 보입니다.,train,frustrated-05,0,0,1,0,0,0,0,0
이 문제 때문에 계속 막혀 있어서 너무 답답합니다.,train,frustrated-06,0,0,1,0,0,0,0,0
현재 상황은 이 문제 때문에 계속 막혀 있어서 너무 답답합니다. 확인 부탁드립니다.,train,frustrated-06,0,0,1,0,0,0,0,0
오늘 업무를 하면서 이 문제 때문에 계속 막혀 있어서 너무 답답합니다. 이 부분은 조정이 필요해 보입니다.,train,frustrated-06,0,0,1,0,0,0,0,0
같은 내용을 여러 번 보고해야 해서 비효율적입니다.,val,frustrated-07,0,0,1,0,0,0,0,0
현재 상황은 같은 내용을 여러 번 보고해야 해서 비효율적입니다. 확인 부탁드립니다.,val,frustrated-07,0,0,1,0,0,0,0,0
오늘 업무를 하면서 같은 내용을 여러 번 보고해야 해서 비효율적입니다. 이 부분은 조정이 필요해 보입니다.,val,frustrated-07,0,0,1,0,0,0,0,0
결정이 계속 미뤄져서 일정 잡기가 어렵네요.,test,frustrated-08,0,0,1,0,0,0,0,0
현재 상황은 결정이 계속 미뤄져서 일정 잡기가 어렵네요. 확인 부탁드립니다.,test,frustrated-08,0,0,1,0,0,0,0,0
오늘 업무를 하면서 결정이 계속 미뤄져서 일정 잡기가 어렵네요. 이 부분은 조정이 필요해 보입니다.,test,frustrated-08,0,0,1,0,0,0,0,0
정리되지 않은 요청이 계속 들어와서 헷갈립니다.,test,frustrated-09,0,0,1,0,0,0,0,0
현재 상황은 정리되지 않은 요청이 계속 들어와서 헷갈립니다. 확인 부탁드립니다.,test,frustrated-09,0,0,1,0,0,0,0,0
오늘 업무를 하면서 정리되지 않은 요청이 계속 들어와서 헷갈립니다. 이 부분은 조정이 필요해 보입니다.,test,frustrated-09,0,0,1,0,0,0,0,0
이렇게 일정을 일방적으로 바꾸는 건 정말 화가 납니다.,train,angry-00,0,0,0,1,0,0,0,0
현재 상황은 이렇게 일정을 일방적으로 바꾸는 건 정말 화가 납니다. 확인 부탁드립니다.,train,angry-00,0,0,0,1,0,0,0,0
오늘 업무를 하면서 이렇게 일정을 일방적으로 바꾸는 건 정말 화가 납니다. 이 부분은 조정이 필요해 보입니다.,train,angry-00,0,0,0,1,0,0,0,0
몇 번을 말했는데 또 같은 문제가 생겨서 화가 나네요.,train,angry-01,0,0,0,1,0,0,0,0
현재 상황은 몇 번을 말했는데 또 같은 문제가 생겨서 화가 나네요. 확인 부탁드립니다.,train,angry-01,0,0,0,1,0,0,0,0
오늘 업무를 하면서 몇 번을 말했는데 또 같은 문제가 생겨서 화가 나네요. 이 부분은 조정이 필요해 보입니다.,train,angry-01,0,0,0,1,0,0,0,0
아무 설명 없이 책임을 넘기는 건 너무 화납니다.,train,angry-02,0,0,0,1,0,0,0,0
현재 상황은 아무 설명 없이 책임을 넘기는 건 너무 화납니다. 확인 부탁드립니다.,train,angry-02,0,0,0,1,0,0,0,0
오늘 업무를 하면서 아무 설명 없이 책임을 넘기는 건 너무 화납니다. 이 부분은 조정이 필요해 보입니다.,train,angry-02,0,0,0,1,0,0,0,0
합의한 내용을 무시하고 진행한 건 납득하기 어렵고 화가 납니다.,train,angry-03,0,0,0,1,0,0,0,0
현재 상황은 합의한 내용을 무시하고 진행한 건 납득하기 어렵고 화가 납니다. 확인 부탁드립니다.,train,angry-03,0,0,0,1,0,0,0,0
오늘 업무를 하면서 합의한 내용을 무시하고 진행한 건 납득하기 어렵고 화가 납니다. 이 부분은 조정이 필요해 보입니다.,train,angry-03,0,0,0,1,0,0,0,0
계속 이런 식으로 대응하면 정말 화날 수밖에 없습니다.,train,angry-04,0,0,0,1,0,0,0,0
현재 상황은 계속 이런 식으로 대응하면 정말 화날 수밖에 없습니다. 확인 부탁드립니다.,train,angry-04,0,0,0,1,0,0,0,0
오늘 업무를 하면서 계속 이런 식으로 대응하면 정말 화날 수밖에 없습니다. 이 부분은 조정이 필요해 보입니다.,train,angry-04,0,0,0,1,0,0,0,0
준비도 안 된 상태에서 당장 하라는 건 너무 화가 납니다.,train,angry-05,0,0,0,1,0,0,0,0
현재 상황은 준비도 안 된 상태에서 당장 하라는 건 너무 화가 납니다. 확인 부탁드립니다.,train,angry-05,0,0,0,1,0,0,0,0
오늘 업무를 하면서 준비도 안 된 상태에서 당장 하라는 건 너무 화가 납니다. 이 부분은 조정이 필요해 보입니다.,train,angry-05,0,0,0,1,0,0,0,0
문제를 알고도 방치한 건 정말 화나는 일입니다.,train,angry-06,0,0,0,1,0,0,0,0
현재 상황은 문제를 알고도 방치한 건 정말 화나는 일입니다. 확인 부탁드립니다.,train,angry-06,0,0,0,1,0,0,0,0
오늘 업무를 하면서 문제를 알고도 방치한 건 정말 화나는 일입니다. 이 부분은 조정이 필요해 보입니다.,train,angry-06,0,0,0,1,0,0,0,0
매번 마지막 순간에 통보하는 방식은 화가 납니다.,val,angry-07,0,0,0,1,0,0,0,0
현재 상황은 매번 마지막 순간에 통보하는 방식은 화가 납니다. 확인 부탁드립니다.,val,angry-07,0,0,0,1,0,0,0,0
오늘 업무를 하면서 매번 마지막 순간에 통보하는 방식은 화가 납니다. 이 부분은 조정이 필요해 보입니다.,val,angry-07,0,0,0,1,0,0,0,0
제가 하지 않은 일까지 제 책임이라고 하니 화가 납니다.,test,angry-08,0,0,0,1,0,0,0,0
현재 상황은 제가 하지 않은 일까지 제 책임이라고 하니 화가 납니다. 확인 부탁드립니다.,test,angry-08,0,0,0,1,0,0,0,0
오늘 업무를 하면서 제가 하지 않은 일까지 제 책임이라고 하니 화가 납니다. 이 부분은 조정이 필요해 보입니다.,test,angry-08,0,0,0,1,0,0,0,0
같은 실수를 반복하면서 아무 조치도 없는 게 화납니다.,test,angry-09,0,0,0,1,0,0,0,0
현재 상황은 같은 실수를 반복하면서 아무 조치도 없는 게 화납니다. 확인 부탁드립니다.,test,angry-09,0,0,0,1,0,0,0,0
오늘 업무를 하면서 같은 실수를 반복하면서 아무 조치도 없는 게 화납니다. 이 부분은 조정이 필요해 보입니다.,test,angry-09,0,0,0,1,0,0,0,0
현재 업무 프로세스에는 만족하기 어렵습니다.,train,dissatisfied-00,0,0,0,0,1,0,0,0
현재 상황은 현재 업무 프로세스에는 만족하기 어렵습니다. 확인 부탁드립니다.,train,dissatisfied-00,0,0,0,0,1,0,0,0
오늘 업무를 하면서 현재 업무 프로세스에는 만족하기 어렵습니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-00,0,0,0,0,1,0,0,0
이 방식은 비효율적이라 계속 유지하는 게 불만입니다.,train,dissatisfied-01,0,0,0,0,1,0,0,0
현재 상황은 이 방식은 비효율적이라 계속 유지하는 게 불만입니다. 확인 부탁드립니다.,train,dissatisfied-01,0,0,0,0,1,0,0,0
오늘 업무를 하면서 이 방식은 비효율적이라 계속 유지하는 게 불만입니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-01,0,0,0,0,1,0,0,0
역할과 책임이 불명확한 점이 가장 불만스럽습니다.,train,dissatisfied-02,0,0,0,0,1,0,0,0
현재 상황은 역할과 책임이 불명확한 점이 가장 불만스럽습니다. 확인 부탁드립니다.,train,dissatisfied-02,0,0,0,0,1,0,0,0
오늘 업무를 하면서 역할과 책임이 불명확한 점이 가장 불만스럽습니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-02,0,0,0,0,1,0,0,0
의사결정 과정이 투명하지 않아서 만족스럽지 않습니다.,train,dissatisfied-03,0,0,0,0,1,0,0,0
현재 상황은 의사결정 과정이 투명하지 않아서 만족스럽지 않습니다. 확인 부탁드립니다.,train,dissatisfied-03,0,0,0,0,1,0,0,0
오늘 업무를 하면서 의사결정 과정이 투명하지 않아서 만족스럽지 않습니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-03,0,0,0,0,1,0,0,0
현재 지원 체계로는 업무하기 어렵다는 생각이 듭니다.,train,dissatisfied-04,0,0,0,0,1,0,0,0
현재 상황은 현재 지원 체계로는 업무하기 어렵다는 생각이 듭니다. 확인 부탁드립니다.,train,dissatisfied-04,0,0,0,0,1,0,0,0
오늘 업무를 하면서 현재 지원 체계로는 업무하기 어렵다는 생각이 듭니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-04,0,0,0,0,1,0,0,0
업무 우선순위가 매번 바뀌는 점이 불만입니다.,train,dissatisfied-05,0,0,0,0,1,0,0,0
현재 상황은 업무 우선순위가 매번 바뀌는 점이 불만입니다. 확인 부탁드립니다.,train,dissatisfied-05,0,0,0,0,1,0,0,0
오늘 업무를 하면서 업무 우선순위가 매번 바뀌는 점이 불만입니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-05,0,0,0,0,1,0,0,0
개선 요청을 여러 번 했지만 반영되지 않아 불만입니다.,train,dissatisfied-06,0,0,0,0,1,0,0,0
현재 상황은 개선 요청을 여러 번 했지만 반영되지 않아 불만입니다. 확인 부탁드립니다.,train,dissatisfied-06,0,0,0,0,1,0,0,0
오늘 업무를 하면서 개선 요청을 여러 번 했지만 반영되지 않아 불만입니다. 이 부분은 조정이 필요해 보입니다.,train,dissatisfied-06,0,0,0,0,1,0,0,0
성과 기준이 명확하지 않은 점이 만족스럽지 않습니다.,val,dissatisfied-07,0,0,0,0,1,0,0,0
현재 상황은 성과 기준이 명확하지 않은 점이 만족스럽지 않습니다. 확인 부탁드립니다.,val,dissatisfied-07,0,0,0,0,1,0,0,0
오늘 업무를 하면서 성과 기준이 명확하지 않은 점이 만족스럽지 않습니다. 이 부분은 조정이 필요해 보입니다.,val,dissatisfied-07,0,0,0,0,1,0,0,0
현재 협업 방식은 효율이 낮아서 불만이 있습니다.,test,dissatisfied-08,0,0,0,0,1,0,0,0
현재 상황은 현재 협업 방식은 효율이 낮아서 불만이 있습니다. 확인 부탁드립니다.,test,dissatisfied-08,0,0,0,0,1,0,0,0
오늘 업무를 하면서 현재 협업 방식은 효율이 낮아서 불만이 있습니다. 이 부분은 조정이 필요해 보입니다.,test,dissatisfied-08,0,0,0,0,1,0,0,0
계속 같은 문제가 반복되는 조직 운영 방식이 아쉽습니다.,test,dissatisfied-09,0,0,0,0,1,0,0,0
현재 상황은 계속 같은 문제가 반복되는 조직 운영 방식이 아쉽습니다. 확인 부탁드립니다.,test,dissatisfied-09,0,0,0,0,1,0,0,0
오늘 업무를 하면서 계속 같은 문제가 반복되는 조직 운영 방식이 아쉽습니다. 이 부분은 조정이 필요해 보입니다.,test,dissatisfied-09,0,0,0,0,1,0,0,0
이번 주 업무량이 너무 많아서 일정 안에 끝내기 어렵습니다.,train,overloaded-00,0,0,0,0,0,1,0,0
현재 상황은 이번 주 업무량이 너무 많아서 일정 안에 끝내기 어렵습니다. 확인 부탁드립니다.,train,overloaded-00,0,0,0,0,0,1,0,0
오늘 업무를 하면서 이번 주 업무량이 너무 많아서 일정 안에 끝내기 어렵습니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-00,0,0,0,0,0,1,0,0
오늘 처리해야 할 일이 너무 많이 쌓여 있습니다.,train,overloaded-01,0,0,0,0,0,1,0,0
현재 상황은 오늘 처리해야 할 일이 너무 많이 쌓여 있습니다. 확인 부탁드립니다.,train,overloaded-01,0,0,0,0,0,1,0,0
오늘 업무를 하면서 오늘 처리해야 할 일이 너무 많이 쌓여 있습니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-01,0,0,0,0,0,1,0,0
동시에 세 프로젝트를 맡아서 여력이 없습니다.,train,overloaded-02,0,0,0,0,0,1,0,0
현재 상황은 동시에 세 프로젝트를 맡아서 여력이 없습니다. 확인 부탁드립니다.,train,overloaded-02,0,0,0,0,0,1,0,0
오늘 업무를 하면서 동시에 세 프로젝트를 맡아서 여력이 없습니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-02,0,0,0,0,0,1,0,0
마감이 겹쳐서 지금 업무 부담이 너무 큽니다.,train,overloaded-03,0,0,0,0,0,1,0,0
현재 상황은 마감이 겹쳐서 지금 업무 부담이 너무 큽니다. 확인 부탁드립니다.,train,overloaded-03,0,0,0,0,0,1,0,0
오늘 업무를 하면서 마감이 겹쳐서 지금 업무 부담이 너무 큽니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-03,0,0,0,0,0,1,0,0
추가 업무까지 들어오면 현재 인력으로 감당하기 어렵습니다.,train,overloaded-04,0,0,0,0,0,1,0,0
현재 상황은 추가 업무까지 들어오면 현재 인력으로 감당하기 어렵습니다. 확인 부탁드립니다.,train,overloaded-04,0,0,0,0,0,1,0,0
오늘 업무를 하면서 추가 업무까지 들어오면 현재 인력으로 감당하기 어렵습니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-04,0,0,0,0,0,1,0,0
이번 달은 계속 야근해야 할 정도로 일이 많습니다.,train,overloaded-05,0,0,0,0,0,1,0,0
현재 상황은 이번 달은 계속 야근해야 할 정도로 일이 많습니다. 확인 부탁드립니다.,train,overloaded-05,0,0,0,0,0,1,0,0
오늘 업무를 하면서 이번 달은 계속 야근해야 할 정도로 일이 많습니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-05,0,0,0,0,0,1,0,0
긴급 요청이 계속 들어와서 기존 업무를 처리할 시간이 없습니다.,train,overloaded-06,0,0,0,0,0,1,0,0
현재 상황은 긴급 요청이 계속 들어와서 기존 업무를 처리할 시간이 없습니다. 확인 부탁드립니다.,train,overloaded-06,0,0,0,0,0,1,0,0
오늘 업무를 하면서 긴급 요청이 계속 들어와서 기존 업무를 처리할 시간이 없습니다. 이 부분은 조정이 필요해 보입니다.,train,overloaded-06,0,0,0,0,0,1,0,0
담당 범위가 너무 넓어서 하나씩 제대로 보기 어렵습니다.,val,overloaded-07,0,0,0,0,0,1,0,0
현재 상황은 담당 범위가 너무 넓어서 하나씩 제대로 보기 어렵습니다. 확인 부탁드립니다.,val,overloaded-07,0,0,0,0,0,1,0,0
오늘 업무를 하면서 담당 범위가 너무 넓어서 하나씩 제대로 보기 어렵습니다. 이 부분은 조정이 필요해 보입니다.,val,overloaded-07,0,0,0,0,0,1,0,0
이번 주 일정은 이미 꽉 차서 새 요청을 받기 어렵습니다.,test,overloaded-08,0,0,0,0,0,1,0,0
현재 상황은 이번 주 일정은 이미 꽉 차서 새 요청을 받기 어렵습니다. 확인 부탁드립니다.,test,overloaded-08,0,0,0,0,0,1,0,0
오늘 업무를 하면서 이번 주 일정은 이미 꽉 차서 새 요청을 받기 어렵습니다. 이 부분은 조정이 필요해 보입니다.,test,overloaded-08,0,0,0,0,0,1,0,0
현재 작업량으로는 품질과 마감을 동시에 맞추기 어렵습니다.,test,overloaded-09,0,0,0,0,0,1,0,0
현재 상황은 현재 작업량으로는 품질과 마감을 동시에 맞추기 어렵습니다. 확인 부탁드립니다.,test,overloaded-09,0,0,0,0,0,1,0,0
오늘 업무를 하면서 현재 작업량으로는 품질과 마감을 동시에 맞추기 어렵습니다. 이 부분은 조정이 필요해 보입니다.,test,overloaded-09,0,0,0,0,0,1,0,0
이 부분은 개발팀과 기획팀 의견이 계속 충돌하고 있습니다.,train,conflict-00,0,0,0,0,0,0,1,0
현재 상황은 이 부분은 개발팀과 기획팀 의견이 계속 충돌하고 있습니다. 확인 부탁드립니다.,train,conflict-00,0,0,0,0,0,0,1,0
오늘 업무를 하면서 이 부분은 개발팀과 기획팀 의견이 계속 충돌하고 있습니다. 이 부분은 조정이 필요해 보입니다.,train,conflict-00,0,0,0,0,0,0,1,0
담당자와 우선순위에 대한 의견 차이가 큽니다.,train,conflict-01,0,0,0,0,0,0,1,0
현재 상황은 담당자와 우선순위에 대한 의견 차이가 큽니다. 확인 부탁드립니다.,train,conflict-01,0,0,0,0,0,0,1,0
오늘 업무를 하면서 담당자와 우선순위에 대한 의견 차이가 큽니다. 이 부분은 조정이 필요해 보입니다.,train,conflict-01,0,0,0,0,0,0,1,0
서로 합의하지 않은 상태에서 진행해서 갈등이 생겼습니다.,train,conflict-02,0,0,0,0,0,0,1,0
현재 상황은 서로 합의하지 않은 상태에서 진행해서 갈등이 생겼습니다. 확인 부탁드립니다.,train,conflict-02,0,0,0,0,0,0,1,0
오늘 업무를 하면서 서로 합의하지 않은 상태에서 진행해서 갈등이 생겼습니다. 이 부분은 조정이 필요해 보입니다.,train,conflict-02,0,0,0,0,0,0,1,0
회의에서 역할 범위를 두고 의견이 많이 부딪혔습니다.,train,conflict-03,0,0,0,0,0,0,1,0
현재 상황은 회의에서 역할 범위를 두고 의견이 많이 부딪혔습니다. 확인 부탁드립니다.,train,conflict-03,0,0,0,0,0,0,1,0
오늘 업무를 하면서 회의에서 역할 범위를 두고 의견이 많이 부딪혔습니다. 이 부분은 조정이 필요해 보입니다.,train,conflict-03,0,0,0,0,0,0,1,0
팀 간 책임 범위가 겹쳐서 계속 마찰이 있습니다.,train,conflict-04,0,0,0,0,0,0,1,0
현재 상황은 팀 간 책임 범위가 겹쳐서 계속 마찰이 있습니다. 확인 부탁드립니다.,train,conflict-04,0,0,0,0,0,0,1,0
